S;CN_Price;Imp_Price
0.000000;0.000000;0.000000
0.300000;0.000000;0.000000
0.600000;0.000000;0.000000
0.900000;0.000000;0.000000
1.200000;0.000000;0.000000
1.500000;0.000000;0.000000
1.800000;0.000000;0.000000
2.100000;0.000000;0.000000
2.400000;0.000000;0.000000
2.700000;0.000000;0.000000
3.000000;0.000000;0.000000
3.300000;0.000000;0.000000
3.600000;0.000000;0.000000
3.900000;0.000000;0.000000
4.200000;0.000000;0.000000
4.500000;0.000000;0.000000
4.800000;0.000000;0.000000
5.100000;0.000000;0.000000
5.400000;0.000000;0.000000
5.700000;0.000000;0.000000
6.000000;0.000000;0.000000
6.300000;0.000000;0.000000
6.600000;0.000000;0.000000
6.900000;0.000000;0.000000
7.200000;0.000000;0.000000
7.500000;0.000000;0.000000
7.800000;0.000000;0.000000
8.100000;0.000000;0.000000
8.400000;0.000000;0.000000
8.700000;0.000000;0.000000
9.000000;0.000000;0.000000
9.300000;0.000000;0.000000
9.600000;0.000000;0.000000
9.900000;0.000000;0.000000
10.200000;0.000000;0.000000
10.500000;0.000000;0.000000
10.800000;0.000000;0.000000
11.100000;0.000000;0.000000
11.400000;0.000000;0.000000
11.700000;0.000000;0.000000
12.000000;0.000000;0.000000
12.300000;0.000000;0.000000
12.600000;0.000000;0.000000
12.900000;0.000000;0.000000
13.200000;0.000000;0.000000
13.500000;0.000000;0.000000
13.800000;0.000000;0.000000
14.100000;0.000000;0.000000
14.400000;0.000000;0.000000
14.700000;0.000000;0.000000
15.000000;0.000000;0.000000
15.300000;0.000000;0.000000
15.600000;0.000000;0.000000
15.900000;0.000000;0.000000
16.200000;0.000000;0.000000
16.500000;0.000000;0.000000
16.800000;0.000000;0.000000
17.100000;0.000000;0.000000
17.400000;0.000000;0.000000
17.700000;0.000000;0.000000
18.000000;0.000000;0.000000
18.300000;0.000000;0.000000
18.600000;0.000000;0.000000
18.900000;0.000000;0.000000
19.200000;0.000000;0.000000
19.500000;0.000000;0.000000
19.800000;0.000000;0.000000
20.100000;0.000000;0.000000
20.400000;0.000000;0.000000
20.700000;0.000000;0.000000
21.000000;0.000000;0.000000
21.300000;0.000000;0.000000
21.600000;0.000000;0.000000
21.900000;0.000000;0.000000
22.200000;0.000000;0.000000
22.500000;0.000000;0.000000
22.800000;0.000000;0.000000
23.100000;0.000000;0.000000
23.400000;0.000000;0.000000
23.700000;0.000000;0.000000
24.000000;0.000000;0.000000
24.300000;0.000000;0.000000
24.600000;0.000000;0.000000
24.900000;0.000000;0.000000
25.200000;0.000000;0.000000
25.500000;0.000000;0.000000
25.800000;0.000000;0.000000
26.100000;0.000000;0.000000
26.400000;0.000000;0.000000
26.700000;0.000000;0.000000
27.000000;0.000000;0.000000
27.300000;0.000000;0.000000
27.600000;0.000000;0.000000
27.900000;0.000000;0.000000
28.200000;0.000000;0.000000
28.500000;0.000000;0.000000
28.800000;0.000000;0.000000
29.100000;0.000000;0.000000
29.400000;0.000000;0.000000
29.700000;0.000000;0.000000
30.000000;0.000000;0.000000
30.300000;0.000000;0.000000
30.600000;0.000000;0.000000
30.900000;0.000000;0.000000
31.200000;0.000000;0.000000
31.500000;0.000000;0.000000
31.800000;0.000000;0.000000
32.100000;0.000000;0.000000
32.400000;0.000000;0.000000
32.700000;0.000000;0.000000
33.000000;0.000000;0.000000
33.300000;0.000000;0.000000
33.600000;0.000000;0.000000
33.900000;0.000000;0.000000
34.200000;0.000000;0.000000
34.500000;0.000000;0.000000
34.800000;0.000000;0.000000
35.100000;0.000000;0.000000
